#XList	YList	IList
-2.000000	-23.000000	0.264000
-1.000000	-23.000000	0.405500
0.000000	-23.000000	0.085889
1.000000	-23.000000	-0.080000
2.000000	-23.000000	0.362000
3.000000	-23.000000	0.777000
4.000000	-23.000000	0.851667
5.000000	-23.000000	0.886875
6.000000	-23.000000	0.654444
7.000000	-23.000000	0.260444
8.000000	-23.000000	0.663125
9.000000	-23.000000	1.578222
10.000000	-23.000000	1.571111
11.000000	-23.000000	1.698250
12.000000	-23.000000	1.238667
13.000000	-23.000000	0.924625
14.000000	-23.000000	0.578111
15.000000	-23.000000	0.776889
16.000000	-23.000000	1.197250
17.000000	-23.000000	1.375889
18.000000	-23.000000	1.298000
19.000000	-23.000000	1.701000
20.000000	-23.000000	2.001000
21.000000	-23.000000	1.882778
22.000000	-23.000000	1.467750
23.000000	-23.000000	1.191889
24.000000	-23.000000	1.389750
25.000000	-23.000000	2.049444
26.000000	-23.000000	2.352444
27.000000	-23.000000	2.539000
28.000000	-23.000000	2.291000
29.000000	-23.000000	1.961889
30.000000	-23.000000	1.367111
31.000000	-23.000000	1.470750
32.000000	-23.000000	1.182333
33.000000	-23.000000	1.150375
34.000000	-23.000000	1.027778
35.000000	-23.000000	0.801222
-35.000000	-22.000000	0.345330
-34.000000	-22.000000	-0.009875
-33.000000	-22.000000	-0.212000
-32.000000	-22.000000	0.142333
-31.000000	-22.000000	0.664000
-30.000000	-22.000000	0.684778
-29.000000	-22.000000	0.636875
-28.000000	-22.000000	0.905333
-27.000000	-22.000000	0.996556
-26.000000	-22.000000	1.025333
-25.000000	-22.000000	0.707125
-24.000000	-22.000000	0.485111
-23.000000	-22.000000	0.795750
-22.000000	-22.000000	1.036556
-21.000000	-22.000000	0.645889
-20.000000	-22.000000	0.589750
-19.000000	-22.000000	0.736889
-18.000000	-22.000000	0.351556
-17.000000	-22.000000	0.504000
-16.000000	-22.000000	0.653000
-15.000000	-22.000000	0.598222
-14.000000	-22.000000	0.137625
-13.000000	-22.000000	-0.194444
-12.000000	-22.000000	-0.458333
-11.000000	-22.000000	-0.591750
